325, 1259, 1, 2.212, 0.004, 3, 10.350, -10.221
326, 1159, 7, 6.924, 0.964, 1, 2.222, 0.000
326, 1313, 3, 10.350, -10.221, 1, 2.215, 0.003
329, 1229, 4, 2.366, 1.180, 4, 5.506, 2.452
330, 1229, 4, 5.141, 1.813, 4, 8.347, 2.841
332, 1166, 3, 8.033, -0.437, 3, 11.007, -4.101
332, 1248, 7, 4.300, 1.105, 7, 9.823, 0.392
340, 1039, 3, 10.603, -13.029, 3, 5.560, -12.455
345, 1168, 3, 11.554, 2.796, 3, 20.859, 1.863
346, 1207, 7, 5.250, 0.975, 3, 9.359, 2.736
353, 1310, 3, 15.378, 2.635, 3, 11.692, 0.207
360, 1444, 7, 5.506, 1.087, 3, 15.527, 2.622
362, 1034, 7, 4.250, -6.861, 7, 7.764, -3.347
367, 1226, 3, 14.615, 2.693, 3, 10.262, 1.071
369, 1421, 3, 3.191, -12.487, 1, 2.222, 0.000
371, 1171, 3, 16.144, -5.218, 6, 19.534, 0.978
373, 1225, 4, 14.261, -9.441, 1, 2.222, 0.000
374, 1225, 4, 14.261, -9.441, 1, 2.222, 0.000
375, 1234, 6, 19.534, 0.978, 7, 11.106, 0.002
377, 1159, 7, 0.109, -1.038, 3, 2.833, -2.198
377, 1303, 3, 5.600, 1.347, 4, 8.683, 2.870
378, 1159, 7, 0.621, 0.512, 3, 2.833, -2.198
380, 1171, 3, 20.381, 1.955, 7, 11.109, 0.001
396, 1527, 3, 9.915, 2.762, 6, 27.078, 1.191
400, 1277, 3, 1.146, -13.195, 1, 2.222, 0.000
404, 1532, 3, 6.138, -13.974, 7, 9.101, 0.575
404, 1565, 3, 3.298, -0.408, 3, 6.508, -5.308
406, 1527, 3, 3.880, -14.309, 7, 7.094, 0.942
413, 1487, 3, 20.859, 1.863, 3, 13.447, 2.757
414, 1549, 3, 4.851, -8.595, 7, 8.403, 0.726
416, 1461, 3, 10.699, 2.786, 3, 6.119, -6.102
417, 1585, 3, 14.244, 1.038, 3, 10.259, 0.132
420, 1584, 3, 11.707, -5.115, 4, 14.718, 2.310
424, 1425, 7, 4.561, -2.709, 7, 8.060, 0.791
424, 1484, 3, 3.502, -4.632, 3, 7.660, 2.605
436, 1561, 4, 12.081, 2.995, 3, 6.666, -2.346
439, 1476, 7, 6.730, -1.206, 7, 10.491, 0.200
440, 1676, 3, 20.906, 1.854, 4, 16.266, 0.177
441, 1678, 4, 18.695, 2.429, 7, 9.996, 0.345
442, 1678, 4, 5.268, -13.426, 7, 10.264, 0.268
444, 1636, 9, 5.675, 1.088, 7, 11.105, 0.002
456, 1651, 3, 3.233, -15.508, 7, 6.924, 0.964
466, 1855, 3, 0.618, -8.508, 5, 3.523, 2.119
469, 1573, 3, 2.142, -18.200, 8, 6.569, 0.494
469, 1793, 4, 13.921, -1.889, 3, 9.829, -2.527
475, 1493, 1, 2.222, 0.000, 3, 23.955, 1.153
477, 1527, 3, 7.963, -12.697, 3, 1.930, -12.854
477, 1532, 3, 1.930, -12.854, 1, 2.222, 0.000
480, 1742, 3, 10.831, 2.789, 3, 5.937, -4.753
489, 1934, 3, 7.660, 2.605, 1, 2.030, 0.070
496, 1957, 3, 2.062, -15.584, 7, 6.214, 1.039
498, 1902, 7, 1.195, -1.895, 3, 5.055, 2.237
502, 1901, 3, 8.732, -9.406, 9, 1.944, -1.637
509, 1958, 3, 3.252, 0.505, 3, 6.049, 2.404
512, 1832, 3, 13.320, -2.743, 3, 9.049, -7.113
512, 1858, 3, 24.863, 0.907, 7, 7.506, 0.883
512, 1916, 7, 7.506, 0.883, 1, 2.222, 0.000
513, 393, 1, 2.222, 0.000, 3, 24.863, 0.907
515, 2062, 3, 7.418, -0.242, 3, 10.440, 2.780
516, 2062, 3, 7.418, -0.242, 3, 10.440, 2.780
526, 1322, 1, 2.222, 0.000, 3, 23.631, 1.237
555, 2146, 3, 4.063, -2.027, 3, 7.250, 2.561
558, 1998, 7, 0.949, -7.686, 7, 6.360, 1.025
571, 2029, 7, 11.108, 0.001, 7, 4.851, 1.107
571, 2031, 7, 4.851, 1.107, 1, 2.221, 0.000
577, 1986, 3, 11.685, 2.796, 7, 7.375, 0.829
577, 2148, 3, 14.080, 1.005, 3, 9.785, -1.988
